,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OccupancyId,ClientId,ClientIdText,ClientPropertyId,PropertyName,StreetNumber,StreetPrefix,StreetName,StreetType,StreetSuffix,Address2,Suite,City,State,ZipCode,DistrictCode,DistrictText,APN,County,Township,ZoneCode,ZoneText,Longitude,Latitude,FixedPropertyUseCode,FixedPropertyUseText,FloorsAboveGround,FloorsBelowGround,PropertyOccupantLoad,PropertySquarefoot,MixedUseCode,MixedUseText,PropertyOwnershipCode,PropertyOwnershipText,RoofCoveringCode,RoofCoveringText,StructureTypeCode,StructureTypeText,ConstructionTypeCode,ConstructionTypeDriscription,BuildingStatusCode,BuildingStatusText,DetectorPresentCode,DetectorPresentText,DetectorPowerCode,DetectorPowerText,DetectorTypeCode,DetectorTypeText,AutomaticExtinguishingCode,AutomaticExtinguishingText,AutomaticExtinguishingTypeCode,AutomaticExtingushingTypeText,AutomaticExtinguishingNumberOfHeads,StationCode,StationText,InspectionDistrictCode,InspectionDistrictText,BuildingClassCode,BuildingClassText,ConstructionCompletedDate,PropertyNotes,BusinessPermit,LastInspectionDate,LastInspectionId,isVacantProperty,isMergedProperty,isDeletedProperty,AHJCode,AHJText,DefaultInspectionTypeCode,DefaultInspectionTypeDescrition,ComplexMainId,NumberOfUnits,PropertyCreationDate,PropertyCategory,ErrorCode,ErrorMessage
0,0.0,0.0,0.0,135443,40,WA-27D03,308C-001-000-001,Oakbrook Golf & Country,8102,,Zircon,Dr,SW,,,Lakewood,WA,98498-5120,PREV,Prevention,308C,Pierce,,,,-122.54438,47.19429,142,Clubhouse,1.0,1.0,0.0,14686.0,NN,Not mixed use,1,Private,7.0,Built-Up,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,1,Present,4,Hardwire with battery backup,,,1,Present,1,Wet-pipe sprinkler,0.0,24.0,Station 24,PREV,Prevention,A-2,A-2,0001-01-01T00:00:00,"<p class=""p1""><span class=""s1"">Electric cart storage below mens lockerroom in pro shop</span></p>",,2022-05-03T14:12:11.327,1609776.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
1,1.0,1.0,1.0,135444,40,WA-27D03,308C-001-000-002,Oakbrook Country Club - Pro Shop,8102,,Zircon,Dr,SW,,,Lakewood,WA,98498-5120,PREV,Prevention,308C,Pierce,,,,-122.5452,47.19429,549,Specialty shop,1.0,0.0,0.0,10378.0,,,1,Private,,,,,,,2,In normal use,,,,,,,2,Partial System Present,9,Wet chemical system,0.0,24.0,Station 24,PREV,Prevention,M,M,0001-01-01T00:00:00,,,2024-02-27T10:29:48.393,2198643.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
2,2.0,2.0,2.0,135445,40,WA-27D03,308C-003-000-000,Oakbrook Range/Snack Bar Bldg,8102,,Zircon,Dr,SW,,,Lakewood,WA,98498-5120,PREV,Prevention,308C,Pierce,,,,-122.54505,47.1933,160,"Eating, drinking places, other",0.0,0.0,0.0,2016.0,10,Assembly use,1,Private,,,,,,,2,In normal use,1,Present,,,,,13,NFPA 13 Hydraulic System,,,0.0,24.0,Station 24,PREV,Prevention,B,B,0001-01-01T00:00:00,,,2024-02-27T10:30:19.913,2198644.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
3,3.0,3.0,3.0,135446,40,WA-27D03,308C-004-000-000,Oakbrook Golf & Country Maintenance,8015,,Onyx,Dr,SW,,,Lakewood,WA,98498-4853,PREV,Prevention,308C,Pierce,,,,-122.543919,47.189298,800,"Storage, Other",0.0,0.0,0.0,5220.0,,,1,Private,4.0,Wood Shakes/Shingles (Untreated),,,8.0,V-A Protected Wood Frame,2,In normal use,0,None Present,,,,,,,,,0.0,24.0,Station 24,PREV,Prevention,S-2,S-2,0001-01-01T00:00:00,,,2024-02-27T10:03:47.523,2198645.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
4,4.0,4.0,4.0,135447,40,WA-27D03,308D-001-000-000,The Bluffs Condominiums,8301,,Zircon,Dr,SW,,,Lakewood,WA,98498-5128,TH/CONDO,Townhome/Condo,308D,Pierce,,,,-122.551368,47.193459,419,1 or 2 family dwelling,3.0,0.0,0.0,148800.0,10,Assembly use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,1,Present,1,Battery only,1,Smoke,0,None Present,,,0.0,24.0,Station 24,TH/CONDO,Townhome/Condo,TH/CONDO,TH/Condo,0001-01-01T00:00:00,,,2024-02-22T09:31:52.747,2198646.0,False,False,False,3.0,27D03,,,,186.0,2016-11-18T20:19:35.493,Commercial/Community Risk,0,
5,5.0,5.0,5.0,135448,40,WA-27D03,309A-001-000-000,Oakbrook Condominiums,7425,,Ruby,Dr,SW,,,Lakewood,WA,98498-5054,TH/CONDO,Townhome/Condo,309A,Pierce,,,,-122.535725,47.19544,419,1 or 2 family dwelling,2.0,0.0,0.0,49864.0,,,1,Private,7.0,Built-Up,,,,,2,In normal use,1,Present,4,Hardwire with battery backup,,,,,,,0.0,24.0,Station 24,TH/CONDO,Townhome/Condo,TH/CONDO,TH/Condo,0001-01-01T00:00:00,,,2024-02-26T09:51:09.82,2198647.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial/Community Risk,0,
6,6.0,6.0,6.0,135449,40,WA-27D03,309C-001-000-000,Chambers Creek Veterinary,7210,,Bridgeport,Way,W,,,Lakewood,WA,98499-8088,CREW,Crew,309C,Pierce,,,,-122.519174,47.191578,593,Office:  veterinary or research,1.0,0.0,0.0,8876.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,2,In normal use,1,Present,4,Hardwire with battery backup,4,"Sprinkler, water flow detection",13,NFPA 13 Hydraulic System,1,Wet-pipe sprinkler,0.0,21.0,Station 21,CREW,Crew,B,B,0001-01-01T00:00:00,,,2024-02-12T11:55:36.297,2198648.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
7,7.0,7.0,7.0,135450,40,WA-27D03,309C-002-000-000,Cafe Elite,7214,,Bridgeport,Way,W,,,Lakewood,WA,98499-8088,CREW,Crew,309C,Pierce,,,,-122.518493,47.190161,160,"Eating, drinking places, other",1.0,0.0,0.0,204.0,NN,Not mixed use,1,Private,2.0,Composition Shingles,1.0,Enclosed building,9.0,V-B Unprotected Wood Frame,5,Vacant and secured,0,None Present,,,,,0,None Present,,,0.0,21.0,Station 21,CREW,Crew,B,B,0001-01-01T00:00:00,Current transition to Cafe Elite. In process of remodel. Not in operation. ,,2024-01-10T15:06:57.537,2152175.0,True,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
8,8.0,8.0,8.0,135452,40,WA-27D03,309C-003-000-100,Sea Mar Physical Therapy,7424,,Bridgeport,Way,W,,Suite 101,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.51986,47.18975,599,Business office,1.0,0.0,0.0,3000.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2019-11-27T14:50:28,253623.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
9,9.0,9.0,9.0,135453,40,WA-27D03,309C-003-000-103,Sea Mar Pediatric,7424,,Bridgeport,Way,W,,Suite 103,Lakewood,WA,98499-8120,CREW,Crew,309C,Pierce,,,,-122.51986,47.18975,340,"Clinics, doctors offices, hemodialysis cntr, othe",1.0,0.0,0.0,4425.0,,,1,Private,,,,,,,2,In normal use,,,,,,,,,,,0.0,21.0,Station 21,,,B,B,0001-01-01T00:00:00,,,2019-11-27T15:07:39,253624.0,False,False,False,3.0,27D03,,,,0.0,2016-11-18T20:19:35.493,Commercial,0,
